Python,Its.,Mean,+1 std,-1 std,real,user,sys
3.8.20,10.0,500.12754666666666,499.3288933333333,500.4133333333333,15.63,15.35,0.27
3.9.20,10.0,500.12754666666666,499.3288933333333,500.4133333333333,15.85,15.56,0.27
3.10.12,10.0,500.12754666666666,499.3288933333333,500.4133333333333,16.04,15.81,0.23
3.11.10,10.0,500.12754666666666,499.3288933333333,500.4133333333333,10.62,10.41,0.21
3.12.7,10.0,500.12754666666666,499.3288933333333,500.4133333333333,11.13,10.88,0.25
